,index,type,activity,key,fromUser,beginAt,endedAt,Duration
0,173032,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T18:56:17.228Z,2020-07-17T18:56:27.958Z,10.73
1,173033,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T18:56:27.958Z,2020-07-17T18:57:36.730Z,68.772
2,173034,discrete,swipe_user_post,5f0ed11d31768e002687f527,ObjectId(5f109fadf6129800278fcc01),,,
3,173035,discrete,swipe_user_post,5f0ed11d31768e002687f527,ObjectId(5f109fadf6129800278fcc01),,,
4,173036,discrete,swipe_user_post,5ec1ea2db98d6000278c1d54,ObjectId(5f109fadf6129800278fcc01),,,
5,173037,discrete,swipe_user_post,5ec1ea2db98d6000278c1d54,ObjectId(5f109fadf6129800278fcc01),,,
6,173038,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T18:57:36.730Z,2020-07-17T18:57:49.139Z,12.409
7,173039,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:00:36.111Z,2020-07-17T19:01:02.239Z,26.128
8,173040,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:00:37.755Z,2020-07-17T19:00:51.803Z,14.048
9,173041,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:00:51.803Z,2020-07-17T19:00:52.766Z,0.963
10,173042,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:00:52.766Z,2020-07-17T19:01:00.097Z,7.331
11,173043,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:01:00.096Z,2020-07-17T19:01:02.239Z,2.143
12,173044,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:08.894Z,2020-07-17T19:21:25.174Z,256.28
13,173045,continuous,view_tab_chat,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:09.114Z,2020-07-17T19:17:09.115Z,0.001
14,173046,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:09.113Z,2020-07-17T19:17:09.114Z,0.001
15,173047,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:09.114Z,2020-07-17T19:17:10.564Z,1.45
16,173048,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:10.564Z,2020-07-17T19:17:13.478Z,2.914
17,173049,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:13.478Z,2020-07-17T19:17:13.962Z,0.484
18,173050,continuous,view_tab_chat,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:13.962Z,2020-07-17T19:17:14.406Z,0.444
19,173051,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:14.406Z,2020-07-17T19:17:14.683Z,0.277
20,173052,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:17:14.683Z,2020-07-17T19:21:25.174Z,250.491
21,173053,discrete,swipe_user_post,5f10ca4831768e002687f81c,ObjectId(5f109fadf6129800278fcc01),,,
22,173054,discrete,swipe_user_post,5f10ca4831768e002687f81c,ObjectId(5f109fadf6129800278fcc01),,,
23,173055,discrete,swipe_user_post,5f0db5e453030f00279f5d06,ObjectId(5f109fadf6129800278fcc01),,,
24,173056,discrete,swipe_user_post,5f0db5e453030f00279f5d06,ObjectId(5f109fadf6129800278fcc01),,,
25,173057,discrete,view_user,5ebf5fa1edb062002600254e,ObjectId(5f109fadf6129800278fcc01),,,
26,173058,discrete,view_user,5f0e8f91d86cda002712dc98,ObjectId(5f109fadf6129800278fcc01),,,
27,173059,discrete,swipe_user_post,5ec1ea2db98d6000278c1d54,ObjectId(5f109fadf6129800278fcc01),,,
28,173060,discrete,swipe_user_post,5ec1ea2db98d6000278c1d54,ObjectId(5f109fadf6129800278fcc01),,,
29,173061,discrete,swipe_user_post,5f109fadf6129800278fcc01,ObjectId(5f109fadf6129800278fcc01),,,
30,173062,discrete,swipe_user_post,5f109fadf6129800278fcc01,ObjectId(5f109fadf6129800278fcc01),,,
31,173063,discrete,swipe_user_post,5f109fadf6129800278fcc01,ObjectId(5f109fadf6129800278fcc01),,,
32,173064,discrete,swipe_user_post,5f109fadf6129800278fcc01,ObjectId(5f109fadf6129800278fcc01),,,
33,173065,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:21:28.583Z,2020-07-17T19:21:29.007Z,0.424
34,173066,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:18.135Z,2020-07-17T19:24:12.599Z,114.464
35,173067,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:22.520Z,2020-07-17T19:22:22.759Z,0.239
36,173068,continuous,view_tab_chat,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:22.758Z,2020-07-17T19:22:22.923Z,0.165
37,173069,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:22.922Z,2020-07-17T19:22:47.259Z,24.337
38,173070,continuous,read_article,5ee01b9c3819930026ccb26c,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:27.574Z,2020-07-17T19:22:44.891Z,17.317
39,173071,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:47.259Z,2020-07-17T19:22:48.468Z,1.209
40,173072,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:48.468Z,2020-07-17T19:22:49.127Z,0.659
41,173073,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:22:49.126Z,2020-07-17T19:24:12.599Z,83.473
42,173074,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:24:13.844Z,2020-07-17T19:24:16.445Z,2.601
43,173075,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:24:48.375Z,2020-07-17T19:25:18.852Z,30.477
44,173076,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:29:59.077Z,2020-07-17T19:33:16.794Z,197.717
45,173077,continuous,view_tab_chat,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:30:01.791Z,2020-07-17T19:30:03.031Z,1.24
46,173078,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:30:03.031Z,2020-07-17T19:30:04.140Z,1.109
47,173079,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:30:04.140Z,2020-07-17T19:30:05.674Z,1.534
48,173080,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:30:05.674Z,2020-07-17T19:31:32.905Z,87.231
49,173081,discrete,swipe_user_post,5ec062518d9db90027bb2bb1,ObjectId(5f109fadf6129800278fcc01),,,
50,173082,discrete,swipe_user_post,5ec062518d9db90027bb2bb1,ObjectId(5f109fadf6129800278fcc01),,,
51,173083,discrete,swipe_user_post,5ec062518d9db90027bb2bb1,ObjectId(5f109fadf6129800278fcc01),,,
52,173084,discrete,swipe_user_post,5ec062518d9db90027bb2bb1,ObjectId(5f109fadf6129800278fcc01),,,
53,173085,discrete,swipe_user_post,5ee5723d278a210026c605f7,ObjectId(5f109fadf6129800278fcc01),,,
54,173086,discrete,swipe_user_post,5ee5723d278a210026c605f7,ObjectId(5f109fadf6129800278fcc01),,,
55,173087,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
56,173088,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
57,173089,continuous,view_tab_chat,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:32.904Z,2020-07-17T19:31:33.554Z,0.65
58,173090,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:33.554Z,2020-07-17T19:31:34.302Z,0.748
59,173091,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:34.302Z,2020-07-17T19:31:35.893Z,1.591
60,173092,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:35.893Z,2020-07-17T19:31:38.092Z,2.199
61,173093,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:38.091Z,2020-07-17T19:31:38.978Z,0.887
62,173094,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:31:38.978Z,2020-07-17T19:32:40.874Z,61.896
63,173095,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:32:40.874Z,2020-07-17T19:32:42.289Z,1.415
64,173096,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:32:42.288Z,2020-07-17T19:33:16.794Z,34.506
65,173097,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:33:30.269Z,2020-07-17T19:34:11.905Z,41.636
66,173098,continuous,connection,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:36:27.676Z,2020-07-17T19:36:59.271Z,31.595
67,173099,continuous,view_tab_activity,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:36:27.899Z,2020-07-17T19:36:31.670Z,3.771
68,173100,continuous,view_tab_discover,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:36:31.670Z,2020-07-17T19:36:33.387Z,1.717
69,173101,continuous,view_tab_portal,,ObjectId(5f109fadf6129800278fcc01),2020-07-17T19:36:33.387Z,2020-07-17T19:36:59.271Z,25.884
70,173102,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
71,173103,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
72,173104,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
73,173105,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
74,173106,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
75,173107,discrete,swipe_user_post,5f0e247a53030f00279f5e13,ObjectId(5f109fadf6129800278fcc01),,,
