,index,type,activity,key,fromUser,beginAt,endedAt
0,221878,discrete,view_user,5ee5b059278a210026c60605,ObjectId(5f2ff8e796cc23002701c3ac),,
1,221879,discrete,view_user,5f0db5e453030f00279f5d06,ObjectId(5f2ff8e796cc23002701c3ac),,
2,221880,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-15T05:22:22.756Z,2020-08-15T05:22:26.376Z
3,221881,continuous,view_tab_portal,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-15T05:22:26.376Z,2020-08-15T05:23:03.947Z
4,221882,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-15T05:23:03.946Z,2020-08-15T05:23:23.906Z
5,221883,continuous,read_article,5f0de8061674c2002618ebbf,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-15T05:23:11.071Z,2020-08-15T05:23:23.276Z
6,221884,continuous,connection,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:58:48.662Z,2020-08-22T04:02:12.076Z
7,221885,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:58:48.726Z,2020-08-22T03:58:51.566Z
8,221886,continuous,view_tab_activity,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:58:51.566Z,2020-08-22T03:59:44.701Z
9,221887,discrete,view_user,5eb9c8d89435d00026d49af8,ObjectId(5f2ff8e796cc23002701c3ac),,
10,221888,continuous,view_tab_chat,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:59:44.701Z,2020-08-22T03:59:46.121Z
11,221889,continuous,view_tab_activity,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:59:46.121Z,2020-08-22T03:59:46.671Z
12,221890,continuous,view_tab_portal,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T03:59:46.671Z,2020-08-22T04:00:28.116Z
13,221891,discrete,view_user,5ec062518d9db90027bb2bb1,ObjectId(5f2ff8e796cc23002701c3ac),,
14,221892,discrete,view_user,5f2ff8e796cc23002701c3ac,ObjectId(5f2ff8e796cc23002701c3ac),,
15,221893,continuous,view_tab_activity,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T04:00:28.116Z,2020-08-22T04:00:28.926Z
16,221894,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T04:00:28.926Z,2020-08-22T04:01:18.196Z
17,221895,continuous,read_article,5efeaef97f199a002697a1f1,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T04:00:45.085Z,2020-08-22T04:01:10.196Z
18,221896,continuous,view_tab_portal,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T04:01:18.196Z,2020-08-22T04:02:01.241Z
19,221897,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T04:02:01.241Z,2020-08-22T04:02:12.076Z
20,221898,continuous,connection,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:01:32.133Z,2020-08-22T05:06:32.292Z
21,221899,continuous,view_tab_discover,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:01:32.215Z,2020-08-22T05:06:32.292Z
22,221900,continuous,read_article,5f0e6cd079c7430026c5c34f,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:01:35.787Z,2020-08-22T05:02:15.559Z
23,221901,continuous,read_article,5f399a05964d090027bf7b6a,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:02:17.919Z,2020-08-22T05:02:48.941Z
24,221902,continuous,read_article,5ee131e7a3c38e002786fbd9,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:03:02.696Z,2020-08-22T05:03:13.464Z
25,221903,continuous,read_article,5f2b60d51b993c0026c42b69,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:03:46.609Z,2020-08-22T05:03:59.385Z
26,221904,continuous,read_article,5f235b8c5b2a540026fb9830,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:04:11.186Z,2020-08-22T05:05:37.164Z
27,221905,discrete,click_article_chat_button,5f235b8c5b2a540026fb9830,ObjectId(5f2ff8e796cc23002701c3ac),,
28,221906,continuous,read_article,5f235b8c5b2a540026fb9830,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:05:39.904Z,2020-08-22T05:06:32.292Z
29,221907,discrete,click_article_chat_button,5f235b8c5b2a540026fb9830,ObjectId(5f2ff8e796cc23002701c3ac),,
30,221908,discrete,view_user,5ec062518d9db90027bb2bb1,ObjectId(5f2ff8e796cc23002701c3ac),,
31,221909,continuous,connection,,ObjectId(5f2ff8e796cc23002701c3ac),2020-08-22T05:06:34.777Z,2020-08-22T05:09:16.509Z
