,index,type,activity,key,fromUser,beginAt,endedAt
0,198280,continuous,view_tab_chat,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:39:23.567Z,2020-07-27T17:39:24.126Z
1,198281,continuous,view_tab_activity,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:39:24.125Z,2020-07-27T17:39:26.652Z
2,198282,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:39:28.931Z,2020-07-27T17:41:47.554Z
3,198283,discrete,view_user,5f0e77eade92720027ba9788,ObjectId(5f1ba2efd86cda002712e128),,
4,198284,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:41:39.912Z,2020-07-27T17:41:47.554Z
5,198285,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:46:55.776Z,2020-07-27T17:50:40.987Z
6,198286,continuous,read_article,5f1e80ac00df460026e09a22,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:47:07.529Z,2020-07-27T17:47:14.191Z
7,198287,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:50:46.280Z,2020-07-27T17:50:58.788Z
8,198288,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-27T17:50:58.994Z,2020-07-27T17:50:59.102Z
9,198289,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-28T02:18:41.025Z,2020-07-28T02:18:41.313Z
10,198290,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-28T16:17:12.773Z,2020-07-28T16:17:44.780Z
11,198291,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-28T16:17:12.798Z,2020-07-28T16:17:44.780Z
12,198292,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-28T16:22:39.218Z,2020-07-28T16:22:53.134Z
13,198293,continuous,view_tab_activity,,ObjectId(5f1ba2efd86cda002712e128),2020-07-28T16:22:40.516Z,2020-07-28T16:22:53.134Z
14,198294,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:11.122Z,2020-07-30T19:42:43.158Z
15,198295,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:11.163Z,2020-07-30T19:42:18.845Z
16,198296,continuous,view_tab_activity,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:18.845Z,2020-07-30T19:42:22.035Z
17,198297,continuous,view_tab_portal,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:22.034Z,2020-07-30T19:42:28.505Z
18,198298,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:28.505Z,2020-07-30T19:42:43.158Z
19,198299,discrete,view_user,5f1ba2efd86cda002712e128,ObjectId(5f1ba2efd86cda002712e128),,
20,198300,discrete,view_user,5f1ba2efd86cda002712e128,ObjectId(5f1ba2efd86cda002712e128),,
21,198301,discrete,view_user,5f1ba2efd86cda002712e128,ObjectId(5f1ba2efd86cda002712e128),,
22,198302,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:42:49.219Z,2020-07-30T19:42:50.835Z
23,198303,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T19:43:51.877Z,2020-07-30T19:43:52.552Z
24,198304,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T20:51:53.531Z,2020-07-30T20:58:41.651Z
25,198305,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T20:51:53.584Z,2020-07-30T20:58:41.651Z
26,198306,continuous,read_article,5f19850bceaedb00278b696a,ObjectId(5f1ba2efd86cda002712e128),2020-07-30T20:52:07.361Z,2020-07-30T20:58:24.132Z
27,198307,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-07-31T04:34:15.860Z,2020-07-31T04:34:25.926Z
28,198308,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-31T04:34:15.908Z,2020-07-31T04:34:19.441Z
29,198309,continuous,view_tab_portal,,ObjectId(5f1ba2efd86cda002712e128),2020-07-31T04:34:19.440Z,2020-07-31T04:34:24.652Z
30,198310,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-07-31T04:34:24.652Z,2020-07-31T04:34:25.926Z
31,198311,continuous,connection,,ObjectId(5f1ba2efd86cda002712e128),2020-08-06T03:44:57.568Z,2020-08-06T03:45:11.504Z
32,198312,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-08-06T03:44:57.586Z,2020-08-06T03:45:03.790Z
33,198313,continuous,view_tab_activity,,ObjectId(5f1ba2efd86cda002712e128),2020-08-06T03:45:03.790Z,2020-08-06T03:45:06.622Z
34,198314,continuous,view_tab_discover,,ObjectId(5f1ba2efd86cda002712e128),2020-08-06T03:45:06.621Z,2020-08-06T03:45:11.504Z
35,198315,continuous,connection,,ObjectId(5f1c5d0d31768e002687fee9),2020-07-25T16:25:54.104Z,2020-07-25T16:26:17.906Z
36,198316,continuous,connection,,ObjectId(5f1c5d0d31768e002687fee9),2020-07-25T16:26:19.761Z,2020-07-25T16:26:26.324Z
37,198317,continuous,connection,,ObjectId(5f1c5d0d31768e002687fee9),2020-07-25T16:26:29.491Z,2020-07-25T16:28:47.214Z
38,198318,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:30:28.484Z,2020-07-26T07:30:28.982Z
39,198319,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:30:30.685Z,2020-07-26T07:30:30.990Z
40,198320,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:30:35.263Z,2020-07-26T07:30:35.405Z
41,198321,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:30:37.567Z,2020-07-26T07:30:56.465Z
42,198322,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:32:20.490Z,2020-07-26T07:32:53.079Z
43,198323,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:34:16.532Z,2020-07-26T07:38:14.592Z
44,198324,continuous,view_tab_discover,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:35:50.863Z,2020-07-26T07:36:09.605Z
45,198325,continuous,view_tab_portal,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:36:09.604Z,2020-07-26T07:37:41.571Z
46,198326,discrete,swipe_user_post,5f0db5e453030f00279f5d06,ObjectId(5f1d311031768e002687fef8),,
47,198327,discrete,swipe_user_post,5f0db5e453030f00279f5d06,ObjectId(5f1d311031768e002687fef8),,
48,198328,discrete,view_user,5ec31128d38e4400261e280c,ObjectId(5f1d311031768e002687fef8),,
49,198329,continuous,view_tab_discover,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:37:41.571Z,2020-07-26T07:38:14.592Z
50,198330,continuous,read_article,5f1ac412c8aa510027538ec0,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:37:47.647Z,2020-07-26T07:38:09.521Z
51,198331,discrete,view_user,5f14fbf531768e002687fb71,ObjectId(5f1d311031768e002687fef8),,
52,198332,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:38:21.240Z,2020-07-26T07:38:52.681Z
53,198333,continuous,read_article,5f19c436ceaedb00278b6a16,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:38:27.171Z,2020-07-26T07:38:33.262Z
54,198334,continuous,read_article,5f0e2c83ee69980026e07530,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:38:48.386Z,2020-07-26T07:38:50.981Z
55,198335,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:40:00.109Z,2020-07-26T07:40:27.143Z
56,198336,continuous,read_article,5f15f7c940ea050026821a5d,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:40:05.220Z,2020-07-26T07:40:24.743Z
57,198337,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:41:12.125Z,2020-07-26T07:41:56.333Z
58,198338,continuous,read_article,5ef01f14a152fd002725044c,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:41:12.189Z,2020-07-26T07:41:15.134Z
59,198339,continuous,read_article,5ee6cc12b24c2a00267ba62d,ObjectId(5f1d311031768e002687fef8),2020-07-26T07:41:20.903Z,2020-07-26T07:41:50.764Z
60,198340,discrete,view_user,5eb9bb0eed50a20026841455,ObjectId(5f1d311031768e002687fef8),,
61,198341,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:37:11.579Z,2020-08-13T03:38:23.441Z
62,198342,continuous,view_tab_discover,,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:37:11.684Z,2020-08-13T03:38:23.441Z
63,198343,continuous,read_article,5f0e6cd079c7430026c5c34f,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:37:14.029Z,2020-08-13T03:37:22.514Z
64,198344,continuous,read_article,5f31b0aa964d090027bf79e1,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:37:24.426Z,2020-08-13T03:37:53.628Z
65,198345,discrete,view_user,5ec31128d38e4400261e280c,ObjectId(5f1d311031768e002687fef8),,
66,198346,continuous,read_article,5ed4886da777be0027946ae5,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:38:00.119Z,2020-08-13T03:38:23.441Z
67,198347,continuous,connection,,ObjectId(5f1d311031768e002687fef8),2020-08-13T03:42:18.489Z,2020-08-13T03:42:19.563Z
