,index,type,activity,key,fromUser,beginAt,endedAt
0,210900,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T04:14:03.654Z,2020-08-11T04:14:05.092Z
1,210901,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T04:14:03.697Z,2020-08-11T04:14:03.702Z
2,210902,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T04:14:03.702Z,2020-08-11T04:14:05.092Z
3,210903,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T09:30:15.165Z,2020-08-11T09:31:22.861Z
4,210904,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T09:30:15.219Z,2020-08-11T09:30:15.225Z
5,210905,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T09:30:15.225Z,2020-08-11T09:31:22.861Z
6,210906,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T09:56:10.460Z,2020-08-11T09:56:11.540Z
7,210907,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T09:56:10.570Z,2020-08-11T09:56:11.540Z
8,210908,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T12:55:57.254Z,2020-08-11T12:55:57.867Z
9,210909,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T12:55:57.291Z,2020-08-11T12:55:57.867Z
10,210910,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T12:56:41.098Z,2020-08-11T12:56:44.476Z
11,210911,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T12:56:42.852Z,2020-08-11T12:56:44.476Z
12,210912,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T13:40:09.629Z,2020-08-11T13:40:43.719Z
13,210913,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T13:40:09.668Z,2020-08-11T13:40:09.699Z
14,210914,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T13:40:09.699Z,2020-08-11T13:40:43.719Z
15,210915,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T13:59:26.659Z,2020-08-11T13:59:29.090Z
16,210916,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T13:59:29.412Z,2020-08-11T13:59:30.374Z
17,210917,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:00:50.735Z,2020-08-11T14:01:09.482Z
18,210918,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:02:05.201Z,2020-08-11T14:02:41.893Z
19,210919,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:02:05.244Z,2020-08-11T14:02:06.012Z
20,210920,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:02:06.011Z,2020-08-11T14:02:41.893Z
21,210921,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:21:15.526Z,2020-08-11T14:21:52.746Z
22,210922,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:21:15.685Z,2020-08-11T14:21:16.515Z
23,210923,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:21:16.515Z,2020-08-11T14:21:52.746Z
24,210924,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:21:57.776Z,2020-08-11T14:22:04.012Z
25,210925,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:22:17.761Z,2020-08-11T14:23:05.851Z
26,210926,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:23:20.811Z,2020-08-11T14:23:23.422Z
27,210927,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:25:57.748Z,2020-08-11T14:26:56.076Z
28,210928,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:25:57.784Z,2020-08-11T14:25:58.974Z
29,210929,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:25:58.973Z,2020-08-11T14:26:56.076Z
30,210930,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:05.967Z,2020-08-11T14:40:08.367Z
31,210931,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:06.027Z,2020-08-11T14:40:06.371Z
32,210932,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:06.371Z,2020-08-11T14:40:08.367Z
33,210933,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:13.922Z,2020-08-11T14:40:28.242Z
34,210934,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:13.966Z,2020-08-11T14:40:13.967Z
35,210935,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:13.967Z,2020-08-11T14:40:28.242Z
36,210936,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:40:28.747Z,2020-08-11T14:41:11.602Z
37,210937,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:59:18.714Z,2020-08-11T14:59:29.184Z
38,210938,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:59:27.549Z,2020-08-11T14:59:29.184Z
39,210939,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:59:27.574Z,2020-08-11T14:59:29.184Z
40,210940,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:59:27.573Z,2020-08-11T14:59:27.574Z
41,210941,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T14:59:28.354Z,2020-08-11T14:59:29.184Z
42,210942,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:03:00.513Z,2020-08-11T15:04:11.099Z
43,210943,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:03:00.551Z,2020-08-11T15:03:02.324Z
44,210944,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:03:02.324Z,2020-08-11T15:04:11.099Z
45,210945,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:04:14.672Z,2020-08-11T15:04:17.581Z
46,210946,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:05:30.779Z,2020-08-11T15:05:36.280Z
47,210947,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:06:16.500Z,2020-08-11T15:06:33.049Z
48,210948,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:06:35.263Z,2020-08-11T15:06:36.776Z
49,210949,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:08:49.127Z,2020-08-11T15:09:35.244Z
50,210950,continuous,view_tab_discover,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:08:49.305Z,2020-08-11T15:08:49.306Z
51,210951,continuous,view_tab_chat,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:08:49.306Z,2020-08-11T15:09:35.244Z
52,210952,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:09:45.462Z,2020-08-11T15:10:49.523Z
53,210953,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:10:58.542Z,2020-08-11T15:13:04.629Z
54,210954,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:13:04.866Z,2020-08-11T15:13:58.250Z
55,210955,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:15:54.624Z,2020-08-11T15:17:24.193Z
56,210956,continuous,connection,,ObjectId(5f28aacb2f17cc00266aaea8),2020-08-11T15:18:20.817Z,2020-08-11T15:18:53.163Z
