,index,type,activity,key,fromUser,beginAt,endedAt
0,214898,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T14:35:20.596Z,2020-08-07T14:35:22.121Z
1,214899,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:27.844Z,2020-08-07T19:27:31.865Z
2,214900,continuous,view_tab_discover,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:28.074Z,2020-08-07T19:27:28.484Z
3,214901,continuous,view_tab_chat,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:28.484Z,2020-08-07T19:27:31.865Z
4,214902,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:35.205Z,2020-08-07T19:27:35.280Z
5,214903,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:37.193Z,2020-08-07T19:27:38.292Z
6,214904,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:55.418Z,2020-08-07T19:27:57.213Z
7,214905,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:27:59.722Z,2020-08-07T19:28:00.292Z
8,214906,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:28:01.642Z,2020-08-07T19:28:02.542Z
9,214907,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:28:26.321Z,2020-08-07T19:28:29.463Z
10,214908,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:28:31.578Z,2020-08-07T19:28:31.693Z
11,214909,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:28:32.933Z,2020-08-07T19:28:33.665Z
12,214910,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:38:22.118Z,2020-08-07T19:38:23.128Z
13,214911,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:41:39.888Z,2020-08-07T19:41:42.469Z
14,214912,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T19:44:36.478Z,2020-08-07T19:44:38.721Z
15,214913,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-07T20:37:27.613Z,2020-08-07T20:37:28.273Z
16,214914,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T05:26:18.766Z,2020-08-08T05:26:23.677Z
17,214915,continuous,view_tab_discover,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T05:26:18.881Z,2020-08-08T05:26:21.061Z
18,214916,continuous,view_tab_chat,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T05:26:21.061Z,2020-08-08T05:26:23.677Z
19,214917,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T06:57:33.824Z,2020-08-08T06:58:01.461Z
20,214918,continuous,view_tab_discover,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T06:57:33.883Z,2020-08-08T06:57:39.919Z
21,214919,continuous,view_tab_chat,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T06:57:39.919Z,2020-08-08T06:58:01.461Z
22,214920,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T07:02:47.230Z,2020-08-08T07:02:48.295Z
23,214921,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T07:12:16.387Z,2020-08-08T07:12:17.267Z
24,214922,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T07:13:46.921Z,2020-08-08T07:13:47.481Z
25,214923,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:16.612Z,2020-08-08T09:37:24.428Z
26,214924,continuous,view_tab_discover,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:16.687Z,2020-08-08T09:37:17.127Z
27,214925,continuous,view_tab_chat,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:17.127Z,2020-08-08T09:37:24.428Z
28,214926,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:26.966Z,2020-08-08T09:37:27.531Z
29,214927,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:28.452Z,2020-08-08T09:37:30.042Z
30,214928,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:30.501Z,2020-08-08T09:37:32.881Z
31,214929,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:37:33.151Z,2020-08-08T09:37:44.695Z
32,214930,continuous,connection,,ObjectId(5f2a79da045f560026fe9198),2020-08-08T09:42:09.407Z,2020-08-08T09:42:13.428Z
